TagID,TagName,categoryname,categoryid
42,Vårlök,Salladslök,2190
50,Blöja,Pampers,3937
50,Blöja,"New Baby",4336
50,Blöja,"Baby Dry",4337
50,Blöja,"Easy Up",4339
50,Blöja,"Active Fit",4335
51,Blöjor,Pampers,3937
51,Blöjor,"New Baby",4336
51,Blöjor,"Baby Dry",4337
51,Blöjor,"Easy Up",4339
51,Blöjor,"Active Fit",4335
52,spagetti,Spaghetti,1453
53,spaggetti,Spaghetti,1453
56,spageti,Spaghetti,1453
59,leverpastej,Leverpastej,2779
59,leverpastej,"Pastejer Övriga Sorter",1245
63,toalettborste,Toaborste,3987
69,barn,Lösviktsgodis,4570
83,kyckling,Kyckling,189
83,kyckling,Pärlhöna,4313
84,Choklad,Chokladkakor,250
84,Choklad,"Chokladkaka Ljus",4034
84,Choklad,Stycksaker,283
105,engångsglas,Engångsglas/bägare,4289
